"","Popularity","Explicit","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time.Signature","Release.Year","genreSimplified"
"249",27,"false",0.426,0.278,8,-15.283,1,0.0359,0.618,0,0.0773,0.343,125.195,4,1983,"Both"
"252",23,"false",0.756,0.843,9,-6.22,1,0.0584,0.225,0,0.0742,0.916,103.675,4,1964,"Other"
"253",71,"false",0.791,0.565,5,-3.933,0,0.0439,0.0623,0,0.156,0.181,99.961,4,2019,"Pop"
"254",51,"false",0.612,0.744,8,-5.671,1,0.033,0.125,2.57e-06,0.0978,0.527,113.009,4,2016,"Pop"
"255",49,"false",0.263,0.784,7,-6.514,1,0.054,0.00192,0,0.15,0.385,114.671,4,2005,"Other"
"257",26,"false",0.57,0.881,7,-5.223,1,0.0516,0.00376,1.15e-06,0.546,0.356,128.078,4,2008,"Other"
"259",22,"false",0.744,0.952,0,-2.902,0,0.0476,0.223,3.4e-06,0.126,0.945,103.232,4,2003,"Pop"
"260",66,"false",0.424,0.222,9,-15.053,0,0.0391,0.646,0,0.148,0.0606,61.648,4,1983,"Rock"
"261",44,"false",0.705,0.773,4,-6.094,1,0.0443,0.0691,2.07e-06,0.0245,0.358,116.013,4,2021,"Pop"
"263",30,"false",0.642,0.496,0,-10.922,1,0.0851,0.122,0.00789,0.113,0.157,110.003,4,2013,"Pop"
"264",41,"false",0.862,0.897,2,-5.444,1,0.0365,0.0664,0.00548,0.263,0.603,123.999,4,2020,"Pop"
"265",76,"false",0.331,0.55,0,-6.483,1,0.0272,0.605,3.96e-06,0.192,0.429,177.734,3,1973,"Rock"
"266",54,"false",0.326,0.3,9,-13.671,1,0.0454,0.443,0,0.139,0.391,185.63,3,1988,"Other"
"267",51,"false",0.671,0.725,2,-10.065,1,0.065,0.296,0.00022,0.0889,0.956,85.27,4,1964,"Rock"
"268",53,"false",0.287,0.9,1,-5.852,1,0.0932,0.00379,1.48e-05,0.0876,0.132,127.997,4,2010,"Rock"
"269",27,"false",0.827,0.553,5,-10.84,1,0.0553,0.128,0,0.0736,0.918,110.605,4,2006,"Both"
"270",53,"false",0.87,0.699,5,-5.541,0,0.0459,0.245,6.76e-06,0.0588,0.726,126.967,4,2009,"Both"
"271",46,"false",0.236,0.99,2,-4.719,0,0.095,0.00063,0.0586,0.407,0.141,217.913,4,1994,"Rock"
"273",76,"false",0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,4,1981,"Other"
"276",57,"false",0.457,0.613,9,-5.756,1,0.0295,0.00463,0.000406,0.0711,0.132,105.111,4,2011,"Rock"
